66.249.73.147 bot - "2016-10-06 14:25:11" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/3 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.4 bot - "2016-10-06 14:32:34" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/50 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
201.82.58.25 - - "2016-10-06 14:32:55" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/59/33 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
201.19.157.129 - - "2016-10-06 14:41:53" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/8/5 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
66.249.65.57 bot - "2016-10-06 14:42:21" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/39 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
177.13.83.29 - - "2016-10-06 14:45:37" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/28/22 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36"
201.82.58.25 - - "2016-10-06 14:48:00" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/59/33 200 "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1))"
66.249.65.58 bot - "2016-10-06 14:54:12" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/2/3 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.163 bot - "2016-10-06 14:58:02" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/6/6 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.159 bot - "2016-10-06 15:00:51" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/39/21 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
164.132.161.62 bot - "2016-10-06 15:09:41" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/31 200 "Mozilla/5.0 (compatible; AhrefsBot/5.1; +http://ahrefs.com/robot/)"
177.47.51.60 - - "2016-10-06 15:11:49" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/28/22 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
